x,y,r,thet
155.2590658,69.08564327,169.9358809,0.4186632
154.898371,70.81023122,170.3161595,0.42877561
154.5266574,72.55791552,170.7136167,0.438991837
154.1435832,74.32827259,171.1284206,0.449307723
153.7488181,76.1208481,171.5607256,0.459718929
153.3420434,77.9351595,172.0106722,0.470220965
152.9229525,79.77069851,172.4783863,0.480809201
152.4912507,81.62693381,172.9639786,0.491478895
152.0466561,83.50331356,173.4675446,0.502225213
151.588899,85.39926801,173.9891643,0.513043244
151.1177223,87.314212,174.5289019,0.523928031
150.6328812,89.24754749,175.086806,0.53487458
150.1341436,91.19866584,175.6629094,0.545877886
149.6212893,93.16695017,176.2572291,0.556932949
149.0941104,95.15177745,176.8697671,0.56803479
148.5524105,97.15252059,177.5005097,0.57917847
147.9960051,99.16855031,178.1494285,0.590359102
147.4247206,101.1992369,178.8164808,0.601571867
146.8383946,103.2439519,179.5016093,0.612812025
146.2368752,105.3020696,180.2047433,0.62407493
145.6200206,107.3729681,180.9257989,0.635356034
144.9876992,109.4560311,181.6646792,0.646650903
144.3397887,111.5506483,182.4212755,0.657955219
143.6761759,113.6562171,183.1954672,0.669264794
142.9967566,115.7721426,183.9871229,0.680575566
142.3014349,117.8978391,184.7961007,0.691883613
141.5901229,120.0327301,185.6222487,0.703185153
140.8627406,122.1762494,186.4654059,0.714476547
140.1192151,124.3278409,187.3254025,0.725754299
139.3594807,126.4869593,188.2020609,0.737015062
138.5834784,128.6530704,189.0951956,0.748255635
137.7911554,130.8256512,190.0046145,0.759472967
136.9824653,133.0041898,190.9301189,0.770664148
136.1573672,135.1881859,191.8715046,0.781826418
135.3158258,137.3771505,192.8285617,0.792957161
134.4578111,139.5706059,193.8010758,0.804053899
133.5832978,141.7680856,194.7888281,0.815114297
132.6922658,143.9691346,195.7915962,0.826136155
131.7846992,146.1733085,196.809154,0.837117406
130.8605865,148.3801742,197.8412727,0.848056116
129.9199201,150.589309,198.8877211,0.858950474
128.9626965,152.8003007,199.9482658,0.869798796
127.9889158,155.0127476,201.0226716,0.880599515
126.9985818,157.2262577,202.1107021,0.891351179
125.9917013,159.4404491,203.2121198,0.90205245
124.9682847,161.6549493,204.3266865,0.912702097
123.9283453,163.8693951,205.4541638,0.923298992
122.8718991,166.0834323,206.5943128,0.933842106
121.7989653,168.2967157,207.7468952,0.944330507
120.7095655,170.5089083,208.9116728,0.954763354
